size,Own Function,NumPy
2,4.291534423828125e-06,1.0967254638671875e-05
4,8.106231689453125e-06,1.6689300537109375e-06
8,3.910064697265625e-05,1.9073486328125e-06
16,0.0002529621124267578,1.6689300537109375e-06
32,0.0016248226165771484,1.0967254638671875e-05
64,0.012988090515136719,9.107589721679688e-05
128,0.11593008041381836,0.0007181167602539062
256,1.0153329372406006,0.008661746978759766
512,8.966367959976196,0.1247859001159668
size, Strassens,Strassens NoRec
2,5.0067901611328125e-06,3.409385681152344e-05
4,2.7894973754882812e-05,2.002716064453125e-05
8,0.00014281272888183594,1.811981201171875e-05
16,0.0009038448333740234,1.9311904907226562e-05
32,0.006409883499145508,3.790855407714844e-05
64,0.04425191879272461,0.00010514259338378906
128,0.31095218658447266,0.0005819797515869141
256,2.223249912261963,0.006448030471801758
512,15.721213817596436,0.07867693901062012
