Multiplications,Own Function Time,NumPy Time,Strassen's Optimized Time,Strassen's No Rec Time
1,6.9141387939453125e-06,2.002716064453125e-05,6.9141387939453125e-06,6.389617919921875e-05
2,6.9141387939453125e-06,3.814697265625e-06,5.0067901611328125e-06,5.3882598876953125e-05
5,1.0967254638671875e-05,5.9604644775390625e-06,5.245208740234375e-06,0.00011086463928222656
10,2.002716064453125e-05,1.0013580322265625e-05,8.821487426757812e-06,0.00021505355834960938
50,8.082389831542969e-05,4.935264587402344e-05,4.00543212890625e-05,0.0010542869567871094
100,0.00015211105346679688,9.608268737792969e-05,8.0108642578125e-05,0.0020749568939208984
300,0.00045180320739746094,0.00028395652770996094,0.00023508071899414062,0.006512165069580078
500,0.0007600784301757812,0.00047087669372558594,0.0004012584686279297,0.010417938232421875
1000,0.0015261173248291016,0.0009419918060302734,0.0007879734039306641,0.02147817611694336
